#depth variance  VR       nsta
  5  1.745e-05  2.237e+01   6
#mxx        mxy        mxz        myy        myz        mzz
 8.510e+23  1.147e+24  8.502e+23 -8.581e+23 -3.604e+23  7.136e+21
#st1 rk1 dp1 st2 rk2 dp2
252 -147  89 161  -1  57
#pdc pclvd piso
 92   8   0

#filename
DCZ.data
#dt   npts  dist   Az   Zcor VR
1.000  120  97.8 195.2   59 -2.696e+01
#data T          R          Z    synth T          R          Z
 1.633e-04  2.426e-04 -9.633e-04  6.531e-05 -5.905e-04  9.480e-04
 1.348e-03 -1.504e-04 -4.995e-04  1.086e-03 -3.649e-04  1.133e-03
 2.589e-03 -5.558e-04  4.649e-05  2.246e-03 -1.100e-04  1.283e-03
 3.801e-03 -9.477e-04  6.388e-04  3.487e-03  1.581e-04  1.380e-03
 4.894e-03 -1.300e-03  1.235e-03  4.733e-03  4.200e-04  1.409e-03
 5.778e-03 -1.589e-03  1.788e-03  5.892e-03  6.542e-04  1.354e-03
 6.373e-03 -1.794e-03  2.251e-03  6.862e-03  8.391e-04  1.207e-03
 6.612e-03 -1.899e-03  2.582e-03  7.538e-03  9.568e-04  9.641e-04
 6.453e-03 -1.896e-03  2.746e-03  7.819e-03  9.991e-04  6.319e-04
 5.880e-03 -1.783e-03  2.721e-03  7.621e-03  9.715e-04  2.273e-04
 4.907e-03 -1.565e-03  2.497e-03  6.889e-03  8.923e-04 -2.251e-04
 3.578e-03 -1.254e-03  2.083e-03  5.604e-03  7.851e-04 -6.971e-04
 1.967e-03 -8.687e-04  1.504e-03  3.790e-03  6.708e-04 -1.161e-03
 1.719e-04 -4.317e-04  7.981e-04  1.519e-03  5.648e-04 -1.588e-03
-1.693e-03  3.123e-05  1.842e-05 -1.091e-03  4.776e-04 -1.951e-03
-3.504e-03  4.932e-04 -7.749e-04 -3.878e-03  4.165e-04 -2.226e-03
-5.139e-03  9.270e-04 -1.518e-03 -6.641e-03  3.836e-04 -2.391e-03
-6.485e-03  1.308e-03 -2.150e-03 -9.152e-03  3.753e-04 -2.428e-03
-7.450e-03  1.612e-03 -2.619e-03 -1.117e-02  3.821e-04 -2.327e-03
-7.971e-03  1.822e-03 -2.884e-03 -1.247e-02  3.921e-04 -2.086e-03
-8.015e-03  1.925e-03 -2.924e-03 -1.284e-02  3.939e-04 -1.712e-03
-7.588e-03  1.914e-03 -2.738e-03 -1.215e-02  3.784e-04 -1.222e-03
-6.726e-03  1.787e-03 -2.343e-03 -1.041e-02  3.390e-04 -6.459e-04
-5.501e-03  1.552e-03 -1.777e-03 -7.847e-03  2.700e-04 -1.993e-05
-4.004e-03  1.223e-03 -1.091e-03 -4.832e-03  1.667e-04  6.129e-04
-2.345e-03  8.208e-04 -3.476e-04 -1.748e-03  2.615e-05  1.204e-03
-6.401e-04  3.714e-04  3.870e-04  1.135e-03 -1.511e-04  1.706e-03
 1.000e-03 -9.474e-05  1.050e-03  3.639e-03 -3.588e-04  2.076e-03
 2.476e-03 -5.455e-04  1.587e-03  5.632e-03 -5.807e-04  2.279e-03
 3.707e-03 -9.497e-04  1.958e-03  7.032e-03 -7.907e-04  2.302e-03
